epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.995838,0.283333,1.875497,0.289417,0.001,35.6092
2,1.572682,0.508333,1.601625,0.453564,0.001,19.5978
3,1.206595,0.648333,1.486042,0.473002,0.001,2.9519
4,0.950538,0.746667,1.488364,0.557235,0.001,2.3514
5,0.704658,0.829167,1.474223,0.507559,0.001,2.3414
6,0.525094,0.901667,1.549454,0.49676,0.001,2.2873
7,0.399921,0.933333,1.493651,0.544276,0.001,2.1167
8,0.317636,0.951667,1.497742,0.520518,0.0005,2.4261
9,0.202818,0.971667,1.358061,0.578834,0.0005,2.6886
10,0.165873,0.985,1.456765,0.583153,0.0005,2.3436
11,0.142455,0.986667,1.516744,0.557235,0.0005,2.3392
12,0.123306,0.990833,1.648129,0.50324,0.00025,2.5198
